name,state,FDR,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5
GENE-6498,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6499,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6500,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6501,NO,1,806,779,955,963,756,800,1113,1063,925,942
GENE-6502,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6503,NO,1,0,1,1,3,3,5,1,1,1,3
GENE-6504,NO,1,4,5,5,5,9,8,3,3,5,13
GENE-6505,NO,1,1178,247,0,107,607,0,198,180,66,49
GENE-6506,NO,1,206,233,156,217,179,182,236,208,181,232
GENE-6507,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6508,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6509,NO,1,11,13,9,12,19,9,11,13,8,5
GENE-6510,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6511,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6512,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6513,NO,1,1,0,1,0,0,1,2,0,1,0
GENE-6514,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6516,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6517,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6518,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6519,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6520,NO,1,236,358,258,252,191,294,80,108,190,155
GENE-6521,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6522,NO,1,1,1,0,2,0,0,1,1,2,0
GENE-6523,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6524,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6525,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6526,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6527,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6528,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6529,NO,1,2,4,1,3,0,2,5,4,1,2
GENE-6530,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6531,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6532,NO,1,541,340,419,291,397,320,376,356,350,316
GENE-6533,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6534,NO,1,123,99,117,144,109,118,80,137,138,97
GENE-6535,NO,1,1,2,0,2,0,0,1,2,4,1
GENE-6536,NO,1,115,77,58,22,113,79,43,54,73,40
GENE-6537,YES,1,0,0,0,0,0,0,0,0,0,0
GENE-6538,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6539,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6540,NO,1,21,13,30,21,11,16,16,18,14,16
GENE-6541,NO,1,10,9,12,8,7,15,11,9,15,15
GENE-6542,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6543,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6544,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6545,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6546,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6547,NO,1,631,705,750,751,870,858,702,786,993,597
GENE-6548,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6549,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6550,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6551,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6552,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6553,NO,1,27,21,11,8,17,23,10,18,14,19
GENE-6554,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6555,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6556,NO,1,25,33,21,23,28,31,29,22,30,42
GENE-6557,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6558,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6559,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6560,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6561,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6562,NO,1,1,1,1,0,1,0,0,0,0,0
GENE-6563,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6564,NO,1,351,386,313,358,361,417,381,529,255,315
GENE-6565,NO,1,655,579,544,640,625,677,591,599,620,616
GENE-6566,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6567,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6568,NO,1,16,17,12,14,7,11,11,16,11,12
GENE-6569,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6570,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6571,NO,1,0,1,2,1,3,2,1,0,1,0
GENE-6572,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6573,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6574,NO,1,12,7,12,14,16,13,9,15,12,12
GENE-6575,NO,1,260,247,273,243,222,156,264,408,197,336
GENE-6576,NO,1,15,26,19,16,17,14,9,8,28,21
GENE-6577,NO,1,12,11,9,9,9,10,8,15,13,12
GENE-6578,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6579,NO,1,361,444,257,343,390,414,403,351,370,356
GENE-6580,YES,1,0,0,0,0,0,0,0,0,0,0
GENE-6581,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6582,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6583,YES,1,2,2,5,4,3,0,0,1,0,1
GENE-6584,NO,1,0,0,0,1,0,0,0,0,0,0
GENE-6585,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6586,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6587,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6588,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6589,NO,1,1,4,1,1,1,1,1,2,2,0
GENE-6590,NO,1,441,464,495,504,539,496,582,503,552,511
GENE-6591,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6592,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6593,NO,1,167,31,23,2,13,93,684,18,202,135
GENE-6594,NO,1,7,7,10,3,8,8,10,13,7,13
GENE-6595,NO,1,1,10,2,5,5,3,10,10,6,1
GENE-6596,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6597,NO,1,24,43,42,35,38,41,33,46,26,29
GENE-6598,NO,1,63,60,44,49,73,60,72,64,52,56
GENE-6599,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6600,YES,1,2,5,1,7,3,4,4,6,3,10
GENE-6601,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6602,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6603,NO,1,1,0,4,0,1,3,2,1,2,0
GENE-6604,NO,1,25,34,25,22,27,20,27,35,26,16
GENE-6605,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6606,NO,1,143,184,152,204,222,196,139,146,192,179
GENE-6607,NO,1,1,1,0,1,0,0,0,0,0,0
GENE-6608,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6609,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6610,NO,1,193,189,210,190,216,214,214,198,179,242
GENE-6611,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6612,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6613,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6614,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6615,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6616,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6617,NO,1,7,2,5,6,6,6,7,7,5,4
GENE-6618,NO,1,0,0,0,0,1,1,1,1,1,0
GENE-6619,NO,1,334,369,508,438,513,407,231,267,421,414
GENE-6620,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6621,NO,1,1,0,2,3,0,2,0,2,0,0
GENE-6622,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6623,NO,1,126,143,182,109,139,120,142,198,155,141
GENE-6624,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6625,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6626,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6627,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6628,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6629,NO,1,8,24,24,29,20,13,17,28,32,31
GENE-6630,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6631,NO,1,68,91,71,77,72,71,74,52,74,89
GENE-6632,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6633,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6634,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6635,NO,1,248,237,273,316,286,350,347,307,348,262
GENE-6636,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6637,NO,1,1,0,2,0,1,1,0,0,1,0
GENE-6638,NO,1,3,8,7,8,5,5,6,8,7,2
GENE-6639,YES,1,0,0,0,0,0,0,0,0,1,0
GENE-6640,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6641,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6642,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6643,NO,1,2,0,2,0,2,2,4,0,1,0
GENE-6644,NO,1,1356,1268,1391,1247,1402,1253,1385,1349,1163,1270
GENE-6645,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6646,NO,1,47,96,1174,1210,3236,48,1123,769,1,439
GENE-6647,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6648,NO,1,17,26,11,27,22,38,10,22,32,22
GENE-6649,NO,1,1,1,3,1,2,1,2,1,4,0
GENE-6650,NO,1,133,194,99,347,132,258,136,236,185,101
GENE-6651,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6652,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6653,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6654,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6655,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6656,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6657,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6658,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6659,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6660,NO,1,5,3,2,2,1,4,1,1,0,0
GENE-6661,NO,1,30,50,32,51,33,40,44,37,31,30
GENE-6662,NO,1,667,520,602,578,394,331,685,695,331,491
GENE-6663,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6664,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6665,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6666,YES,1,0,0,0,0,0,0,0,0,0,0
GENE-6667,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6668,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6669,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6670,YES,1,1,3,3,2,4,0,0,0,0,0
GENE-6671,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6672,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6673,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6674,NO,1,17,23,15,17,19,24,30,33,18,15
GENE-6675,NO,1,98,90,104,100,89,72,102,111,97,108
GENE-6676,NO,1,34,40,19,37,31,40,24,28,41,28
GENE-6677,NO,1,0,0,1,1,0,1,1,0,0,1
GENE-6678,NO,1,11,14,23,16,12,17,19,19,19,24
GENE-6679,NO,1,0,1,3,1,0,1,1,2,5,1
GENE-6680,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6681,NO,1,56,39,34,37,52,37,37,45,65,25
GENE-6682,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6683,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6684,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6685,NO,1,1885,2023,2144,1706,1794,2130,1921,1848,1852,1864
GENE-6686,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6687,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6688,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6689,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6690,NO,1,61,44,50,51,57,48,29,47,43,33
GENE-6691,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6692,YES,1,0,0,0,0,0,0,0,0,0,0
GENE-6693,NO,1,44,14,57,45,37,74,77,57,31,86
GENE-6694,NO,1,131,122,149,104,107,100,105,101,102,113
GENE-6695,NO,1,36,45,56,40,51,37,51,66,56,30
GENE-6696,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6697,NO,1,113,119,150,119,113,143,95,103,141,146
GENE-6698,NO,1,82,98,144,181,64,74,123,212,125,126
GENE-6699,NO,1,0,0,0,0,0,0,0,0,0,1
GENE-6700,NO,1,12,9,15,7,8,10,14,13,21,21
GENE-6701,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6702,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6703,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6704,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6705,YES,1,0,0,0,0,0,0,0,0,0,0
GENE-6706,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6707,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6708,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6709,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6710,NO,1,0,0,0,0,0,0,0,0,1,0
GENE-6711,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6712,NO,1,2,4,1,1,1,0,1,1,2,1
GENE-6713,NO,1,3,1,3,2,1,4,3,2,3,2
GENE-6714,NO,1,6,6,7,7,6,6,8,4,13,1
GENE-6715,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6716,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6717,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6718,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6719,NO,1,2046,3121,2546,3810,2350,3274,2285,3176,2649,3035
GENE-6720,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6721,NO,1,3,4,4,2,3,5,0,1,2,4
GENE-6722,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6723,NO,1,5,4,5,1,6,6,8,5,3,6
GENE-6724,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6725,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6726,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6727,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6728,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6729,NO,1,15,14,17,16,20,22,22,19,16,17
GENE-6730,NO,1,2,2,0,0,0,0,0,1,0,1
GENE-6731,NO,1,235,167,222,193,165,201,186,211,212,256
GENE-6732,NO,1,12,7,12,14,12,12,7,7,13,9
GENE-6733,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6734,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6735,NO,1,1037,940,778,951,931,878,944,709,729,864
GENE-6736,NO,1,35,36,40,25,26,25,35,22,23,22
GENE-6737,YES,1,0,0,0,0,0,0,0,0,0,0
GENE-6738,NO,1,1,0,0,0,1,1,0,0,0,0
GENE-6739,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6740,NO,1,0,0,1,0,0,0,0,1,0,0
GENE-6741,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6742,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6743,NO,1,6,2,5,3,3,14,3,8,2,5
GENE-6744,NO,1,29,24,24,32,38,65,45,36,36,42
GENE-6745,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6746,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6747,NO,1,106,120,147,82,151,125,96,109,101,126
GENE-6748,NO,1,47,36,52,43,38,39,40,50,46,51
GENE-6749,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6750,NO,1,251,355,350,414,288,362,309,387,314,370
GENE-6751,YES,1,0,0,0,0,0,0,0,0,0,0
GENE-6752,NO,1,17,12,10,15,23,17,21,19,32,39
GENE-6753,YES,1,0,0,0,0,0,0,0,0,0,0
GENE-6754,NO,1,68,72,70,72,65,82,45,65,70,79
GENE-6755,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6756,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6757,NO,1,109,95,76,85,103,97,113,124,108,146
GENE-6758,NO,1,0,1,0,0,1,0,0,1,0,0
GENE-6759,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6760,NO,1,345,323,340,483,356,309,433,333,443,328
GENE-6761,NO,1,810,993,449,582,666,550,1139,753,1028,391
GENE-6762,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6763,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6764,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6765,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6766,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6767,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6768,NO,1,5,4,8,7,7,8,9,4,7,7
GENE-6769,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6770,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6771,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6772,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6773,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6774,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6775,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6776,NO,1,0,1,0,1,0,0,0,0,1,0
GENE-6777,NO,1,81,105,89,76,74,110,92,80,94,82
GENE-6778,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6779,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6780,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6781,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6782,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6783,NO,1,1,39,14,2,8,1,0,11,10,19
GENE-6784,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6785,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6786,NO,1,2,3,2,7,3,1,5,4,3,5
GENE-6787,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6788,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6789,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6790,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6791,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6792,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6793,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6794,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6795,NO,1,26,12,7,21,7,10,7,7,5,11
GENE-6796,NO,1,0,2,0,0,0,1,1,0,0,1
GENE-6797,NO,1,9,17,24,17,13,18,23,23,16,17
GENE-6798,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6799,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6800,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6801,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6802,NO,1,27,39,26,32,32,67,50,47,50,78
GENE-6803,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6804,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6805,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6806,NO,1,285,378,383,403,345,295,311,315,383,352
GENE-6807,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6808,NO,1,63,96,90,81,95,170,104,68,77,75
GENE-6809,NO,1,31,17,25,19,32,23,22,25,14,26
GENE-6810,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6811,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6812,YES,1,0,0,0,0,0,0,0,0,0,0
GENE-6813,NO,1,4,3,2,0,2,4,4,1,3,3
GENE-6814,NO,1,170,144,172,219,148,161,121,148,162,160
GENE-6815,NO,1,367,382,208,457,409,515,435,382,539,413
GENE-6816,NO,1,3086,2383,2673,2164,2372,3538,2543,1174,2467,3106
GENE-6817,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6818,NO,1,0,1,1,0,0,1,1,0,0,0
GENE-6819,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6820,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6821,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6822,NO,1,11,18,21,24,12,15,31,23,19,19
GENE-6823,NO,1,64,97,71,63,88,76,89,54,80,124
GENE-6824,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6825,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6826,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6827,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6828,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6829,NO,1,154,213,266,151,215,193,153,181,222,173
GENE-6830,NO,1,283,249,214,265,222,296,219,259,248,293
GENE-6831,NO,1,0,2,1,0,0,0,1,1,0,0
GENE-6832,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6833,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6834,NO,1,0,0,0,0,0,0,0,0,1,0
GENE-6835,NO,1,3534,3565,3696,3660,3364,3519,3387,3670,3531,3405
GENE-6836,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6837,NO,1,7957,7100,6422,7681,9446,7856,8266,8231,9462,6142
GENE-6838,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6839,NO,1,5,1,1,4,4,3,3,2,1,1
GENE-6840,NO,1,576,547,877,728,762,598,578,845,641,697
GENE-6841,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6842,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6843,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6844,NO,1,5,7,8,6,4,3,11,5,4,7
GENE-6845,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6846,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6847,NO,1,183,124,126,169,156,155,120,154,200,148
GENE-6848,NO,1,131,139,163,118,122,139,125,116,111,123
GENE-6849,NO,1,5,0,2,2,5,3,4,2,1,3
GENE-6850,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6851,NO,1,1084,1191,779,1210,902,1090,984,1423,1260,946
GENE-6852,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6853,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6854,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6855,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6856,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6857,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6858,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6859,NO,1,9,8,7,5,6,9,7,15,8,11
GENE-6860,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6861,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6862,NO,1,9,20,24,15,27,22,24,9,18,17
GENE-6863,NO,1,24,23,7,16,20,8,16,18,15,15
GENE-6864,NO,1,288,135,166,142,185,181,89,135,219,224
GENE-6865,NO,1,101,70,1,19,110,746,9,422,24,48
GENE-6866,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6867,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6868,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6869,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6870,NO,1,0,0,1,0,0,0,2,1,0,0
GENE-6871,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6872,YES,1,0,0,0,0,0,0,0,0,0,0
GENE-6873,NO,1,62,68,81,64,67,61,75,64,83,66
GENE-6874,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6875,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6876,YES,1,0,0,0,0,0,0,0,0,0,0
GENE-6877,NO,1,758,1078,943,921,1092,961,1049,911,937,1270
GENE-6878,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6879,NO,1,717,568,557,625,466,495,573,605,625,517
GENE-6880,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6881,NO,1,0,1,1,1,0,0,1,0,0,1
GENE-6882,NO,1,3,0,5,8,3,1,1,3,2,2
GENE-6883,NO,1,10,3,5,7,4,5,5,5,10,8
GENE-6884,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6885,NO,1,1,1,1,1,2,1,3,1,0,0
GENE-6886,NO,1,90,89,85,73,105,95,83,114,96,88
GENE-6887,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6888,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6889,NO,1,21,15,43,18,3,16,20,12,13,11
GENE-6890,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6891,NO,1,0,0,0,0,1,1,1,0,1,0
GENE-6892,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6893,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6894,NO,1,88,85,65,82,84,87,97,75,63,66
GENE-6895,NO,1,8,5,10,7,13,11,4,10,5,7
GENE-6896,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6897,NO,1,11,53,74,17,1,14,0,0,0,16
GENE-6898,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6899,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6900,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6901,NO,1,440,452,492,669,554,608,445,504,403,654
GENE-6902,NO,1,128,127,102,161,122,128,142,118,117,113
GENE-6903,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6904,NO,1,11,7,16,12,11,8,11,21,12,7
GENE-6906,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6907,NO,1,1853,2704,2483,2321,2627,2426,2084,2749,2388,2111
GENE-6908,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6909,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6910,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6911,NO,1,2,1,2,0,5,2,3,1,2,3
GENE-6912,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6913,NO,1,21,16,122,69,79,36,55,85,57,47
GENE-6914,NO,1,407,444,464,502,522,307,380,476,416,399
GENE-6915,NO,1,105,106,138,120,149,122,110,129,113,146
GENE-6916,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6917,NO,1,0,0,0,1,1,0,0,0,0,1
GENE-6918,NO,1,1,0,0,2,1,0,0,0,0,0
GENE-6919,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6920,NO,1,354,246,575,404,299,812,242,370,473,447
GENE-6921,NO,1,589,579,502,529,617,595,570,489,667,587
GENE-6922,YES,1,0,0,0,0,0,0,0,0,0,0
GENE-6923,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6924,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6925,NO,1,6,3,4,9,4,3,4,3,4,7
GENE-6926,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6927,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6928,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6929,YES,1,0,0,0,0,0,0,0,0,0,0
GENE-6930,NO,1,0,0,0,0,0,0,0,0,0,0
GENE-6931,NO,1,390,355,356,322,304,284,396,350,286,320
GENE-6932,NO,1,0,0,0,0,0,0,0,0,0,0
